student_id,skill_id
STU001,SK005
STU001,SK017
STU001,SK016
STU001,SK003
STU002,SK004
STU002,SK005
STU002,SK006
STU003,SK020
STU003,SK003
STU003,SK013
STU003,SK018
STU003,SK015
STU003,SK009
STU004,SK018
STU004,SK001
STU004,SK004
STU004,SK009
STU004,SK011
STU005,SK010
STU005,SK014
STU005,SK006
STU006,SK001
STU006,SK009
STU006,SK017
STU006,SK006
STU006,SK004
STU006,SK014
STU007,SK017
STU007,SK007
STU007,SK005
STU007,SK012
STU007,SK006
STU008,SK020
STU008,SK011
STU008,SK016
STU009,SK004
STU009,SK012
STU009,SK010
STU010,SK002
STU010,SK008
STU010,SK003
STU010,SK018
STU011,SK003
STU011,SK018
STU011,SK005
STU011,SK019
STU011,SK016
STU011,SK009
STU012,SK009
STU012,SK017
STU012,SK014
STU012,SK007
STU013,SK010
STU013,SK013
STU013,SK012
STU013,SK015
STU014,SK004
STU014,SK008
STU014,SK019
STU014,SK003
STU014,SK011
STU014,SK001
STU015,SK019
STU015,SK008
STU015,SK001
STU015,SK003
STU016,SK008
STU016,SK003
STU016,SK002
STU017,SK003
STU017,SK017
STU017,SK008
STU017,SK009
STU017,SK016
STU018,SK018
STU018,SK005
STU018,SK016
STU018,SK008
STU019,SK014
STU019,SK007
STU019,SK004
STU019,SK018
STU019,SK020
STU019,SK006
STU020,SK014
STU020,SK015
STU020,SK002
STU020,SK004
STU020,SK018
STU020,SK007
STU021,SK004
STU021,SK008
STU021,SK007
STU021,SK018
STU021,SK015
STU022,SK014
STU022,SK006
STU022,SK009
STU022,SK015
STU023,SK003
STU023,SK015
STU023,SK018
STU023,SK004
STU024,SK018
STU024,SK001
STU024,SK003
STU025,SK006
STU025,SK014
STU025,SK016
STU025,SK018
STU026,SK013
STU026,SK002
STU026,SK006
STU026,SK020
STU027,SK013
STU027,SK009
STU027,SK015
STU028,SK014
STU028,SK018
STU028,SK016
STU028,SK005
STU028,SK007
STU029,SK007
STU029,SK002
STU029,SK018
STU029,SK019
STU029,SK011
STU030,SK002
STU030,SK019
STU030,SK016
STU031,SK002
STU031,SK017
STU031,SK003
STU031,SK006
STU032,SK020
STU032,SK003
STU032,SK008
STU033,SK004
STU033,SK019
STU033,SK008
STU033,SK002
STU033,SK003
STU033,SK007
STU034,SK009
STU034,SK007
STU034,SK011
STU034,SK008
STU034,SK020
STU035,SK005
STU035,SK010
STU035,SK015
STU035,SK011
STU035,SK003
STU035,SK001
STU036,SK020
STU036,SK019
STU036,SK004
STU036,SK003
STU036,SK007
STU036,SK009
STU037,SK005
STU037,SK012
STU037,SK003
STU037,SK008
STU037,SK019
STU038,SK006
STU038,SK015
STU038,SK018
STU038,SK010
STU038,SK001
STU039,SK004
STU039,SK005
STU039,SK009
STU039,SK020
STU039,SK017
STU040,SK009
STU040,SK010
STU040,SK007
STU040,SK011
STU041,SK009
STU041,SK017
STU041,SK016
STU041,SK020
STU042,SK003
STU042,SK014
STU042,SK009
STU043,SK001
STU043,SK011
STU043,SK005
STU044,SK006
STU044,SK015
STU044,SK018
STU044,SK014
STU044,SK001
STU045,SK003
STU045,SK005
STU045,SK018
STU046,SK012
STU046,SK019
STU046,SK018
STU047,SK014
STU047,SK005
STU047,SK002
STU047,SK010
STU048,SK002
STU048,SK012
STU048,SK007
STU048,SK008
STU048,SK004
STU049,SK018
STU049,SK014
STU049,SK005
STU049,SK008
STU049,SK006
STU050,SK014
STU050,SK001
STU050,SK006
STU050,SK011
